What is your participant ID?,"How likely do you think the Intelligent Personal Assistants(i.e., Google Home) will complete the task  successfully before this experiment?","Please rate the smartness of the Intelligent Personal Assistants (i.e., Google Home) you have interacted with for social talk.","Please rate the smartness of the Intelligent Personal Assistants (i.e., Google Home) you have interacted with for task talk.","Please rate the effectiveness of the conversation you conducted with the Intelligent Personal Assistants (i.e., Google Home) for social talk .","Please rate the effectiveness of the conversation you conducted with the Intelligent Personal Assistants (i.e., Google Home) for task talk .","Please rate your satisfaction towards the performance of the Intelligent Personal Assistants (i.e., Google Home) you have interacted with for social talk.","Please rate your satisfaction towards the performance of the Intelligent Personal Assistants (i.e., Google Home) you have interacted with for task talk .",What is your age range?,What is your gender?,EndDate
21034,Somewhat likely,Good,Good,Moderately effective,Moderately effective,Somewhat satisfied,Extremely satisfied,18-23,Female,2019-04-15 13:24:11
21172,Somewhat likely,Average,Good,Moderately effective,Very effective,Somewhat dissatisfied,Somewhat satisfied,18-23,Female,2019-04-15 14:27:33
18319,Neither likely nor unlikely,Average,Average,Slightly effective,Slightly effective,Somewhat satisfied,Neither satisfied nor dissatisfied,18-23,Female,2019-04-15 15:11:05
20737,Somewhat likely,Poor,Excellent,Slightly effective,Moderately effective,Somewhat dissatisfied,Somewhat satisfied,18-23,Male,2019-04-16 13:28:04
20896,Extremely likely,Good,Good,Very effective,Extremely effective,Somewhat satisfied,Extremely satisfied,18-23,Female,2019-04-16 14:24:47
22552,Somewhat likely,Average,Good,Moderately effective,Extremely effective,Somewhat satisfied,Extremely satisfied,18-23,Male,2019-04-16 15:29:27
18520,Somewhat likely,Good,Good,Moderately effective,Very effective,Somewhat satisfied,Somewhat satisfied,18-23,Female,2019-04-17 10:18:09
17935,Somewhat likely,Poor,Excellent,Moderately effective,Very effective,Neither satisfied nor dissatisfied,Somewhat satisfied,18-23,Male,2019-04-17 11:27:47
22585,Somewhat unlikely,Poor,Good,Not effective at all,Very effective,Extremely dissatisfied,Somewhat satisfied,18-23,Female,2019-04-17 13:26:07
21037,Somewhat likely,Average,Good,Slightly effective,Moderately effective,Somewhat dissatisfied,Somewhat satisfied,18-23,Female,2019-04-17 14:11:10
22318,Somewhat likely,Good,Excellent,Extremely effective,Extremely effective,Extremely satisfied,Somewhat satisfied,18-23,Male,2019-04-17 15:20:19
16135,Somewhat likely,Average,Excellent,Slightly effective,Very effective,Neither satisfied nor dissatisfied,Extremely satisfied,18-23,Female,2019-04-18 10:22:01
21058,Somewhat likely,Excellent,Good,Very effective,Very effective,Extremely satisfied,Extremely satisfied,18-23,Male,2019-04-18 13:18:28
21154,Somewhat likely,Good,Good,Moderately effective,Very effective,Extremely satisfied,Neither satisfied nor dissatisfied,18-23,Female,2019-04-18 14:22:01
22207,Neither likely nor unlikely,Terrible,Excellent,Slightly effective,Extremely effective,Extremely dissatisfied,Extremely satisfied,18-23,Male,2019-04-19 10:31:33
21826,Somewhat likely,Good,Good,Slightly effective,Moderately effective,Somewhat dissatisfied,Somewhat satisfied,18-23,Female,2019-04-19 12:24:38
17782,Extremely likely,Good,Excellent,Moderately effective,Very effective,Somewhat satisfied,Extremely satisfied,18-23,Female,2019-04-19 13:28:07
21856,Somewhat likely,Average,Good,Slightly effective,Moderately effective,Neither satisfied nor dissatisfied,Somewhat satisfied,18-23,Female,2019-04-19 14:21:57
17767,Somewhat likely,Good,Good,Very effective,Very effective,Extremely satisfied,Somewhat satisfied,18-23,Male,2019-04-19 15:14:06
